Year,Month,Mean maximum temperature,Mean minimum temperature,Highest temperature,Lowest temperature
1976,12,25.1,11.6,39,5.9
1977,1,25.6,13.4,35,8.6
1977,2,26.1,14.5,40.6,9.2
1977,3,23.8,12.6,33.7,6.3
1977,4,18.7,9.8,30.2,4.4
1977,5,16.4,8,21.6,3.2
1977,6,13.5,6.7,16.3,2
1977,7,13.3,3.9,16.9,-0.5
1977,8,16.8,6.8,24,0
1977,9,15.7,6,24.3,1.1
1977,10,21.2,9.4,35.7,4.4
1977,11,21.8,9.5,36.2,2.9
1977,12,24,11.6,34.1,5.5
1978,1,24.4,13.7,38.3,9.2
1978,2,24.6,13,35.7,7.8
1978,3,22.8,14.2,39.3,7
1978,4,19.4,10.1,28.3,3.7
1978,5,18.3,9.5,25.9,2.6
1978,6,13.7,6.5,16.3,0.2
1978,7,13.3,5.2,18.2,1.4
1978,8,13.8,5.4,19.5,0.9
1978,9,16.9,7.5,21.9,3.1
1978,10,20.2,8.2,30.2,2.5
1978,11,21.4,11.5,36.1,7.5
1978,12,21.5,12.2,30.6,6.5
1979,1,27.4,15.7,38,10.9
1979,2,26.1,15.4,41.3,10.1
1979,3,24.8,13.3,34,8
1979,4,19.3,9.5,26.7,4.6
1979,5,16.4,7.5,23.5,3.7
1979,6,15.6,7.1,18.7,0.8
1979,7,14.3,4.5,16.4,-2
1979,8,14.7,5.7,19,1.5
1979,9,16.9,7.4,24.3,0.6
1979,10,19.5,9,30.4,2.8
1979,11,21.7,11.4,29.6,6.4
1979,12,26.4,11.6,39.3,4.4
1980,1,24.2,12.9,34.2,6.6
1980,2,25.1,12.8,41.3,5.4
1980,3,23.4,11.9,36.1,5.8
1980,4,22,11.3,32.2,2.8
1980,5,18.8,8.8,24.1,4.5
1980,6,14.1,6.8,18.2,0.4
1980,7,13.8,5.7,17.6,0.4
1980,8,16.5,6.7,23.2,1.5
1980,9,19.4,8.6,29.1,2.6
1980,10,20.6,9.1,28,1.5
1980,11,23,10.9,37.8,0.8
1980,12,25.9,13.7,41.8,6.1
1981,1,29.4,16.8,42.4,9.7
1981,2,28,16.8,40.4,11.5
1981,3,23.4,12.1,34.7,5.7
1981,4,22.4,10.3,30.2,4.7
1981,5,17.2,8.3,26.5,-0.1
1981,6,14.3,6.2,17.5,1.5
1981,7,14,6.7,17.4,1.7
1981,8,14.6,6.2,19.3,1.9
1981,9,18.6,8.4,28.4,3.7
1981,10,20.2,8.1,31.5,2.2
1981,11,21.3,10.6,31.7,7.5
1981,12,23.6,12.6,35.8,7.9
1982,1,27.9,15.7,44,10.7
1982,2,26.6,14.9,40.2,9.6
1982,3,25.2,13.7,34.5,7.5
1982,4,21.4,10.1,31,4.7
1982,5,17.5,8.5,23.4,2.9
1982,6,13.6,4.1,17.2,-1.8
1982,7,13.1,1.9,17.5,-4.4
1982,8,17.8,4.9,26.4,-2
1982,9,16.7,4.5,24.6,0.1
1982,10,19.8,7.1,33.8,1.1
1982,11,25.2,9.9,38.6,4.2
1982,12,23.6,12,36.3,5.1
1983,1,24.4,11.2,38.5,6.4
1983,2,28.8,14.9,45,9.6
1983,3,24,14.5,37.3,7.7
1983,4,18.2,9.1,25.2,3
1983,5,16.7,8.3,20.7,0.5
1983,6,13.3,4.6,17.7,-1
1983,7,12.8,4.7,16,-1.3
1983,8,15.2,6.9,18.9,0.9
1983,9,16.3,7,21,-0.6
1983,10,17.4,8.8,24.3,2.3
1983,11,20.4,10,30.6,3.8
1983,12,24,12.4,40,7.6
1984,1,23.9,12.6,32.8,6.3
1984,2,26,13,37,7.5
1984,3,22.5,10.7,31.7,4.7
1984,4,19.5,8.5,26.1,3.9
1984,5,18,5.4,24.5,1.1
1984,6,15.1,4.7,20.7,-1.6
1984,7,12.9,3.6,16.9,-4.4
1984,8,15.5,6.1,18.7,1.4
1984,9,15.3,5.9,22.7,-0.5
1984,10,19.6,7.6,28.4,1
1984,11,22.4,10.2,33.2,4
1984,12,22.6,10.7,28.7,5.7
1985,1,24.3,12.4,43.7,7.9
1985,2,24.7,12.6,36,7.2
1985,3,25.6,14.5,35.8,8.6
1985,4,21.8,11,34.1,4
1985,5,17.9,6.6,26.5,1.1
1985,6,14.1,5,18.8,-0.4
1985,7,13.4,4.2,20.7,-2
1985,8,14.5,5.8,18.7,0
1985,9,15.6,6.8,24.8,1
1985,10,19.6,7.7,26.2,2.1
1985,11,20.7,11.2,28.5,3.7
